Î» (nm)	photon flux (Î³/s/cm^2/nm)
0.50	261595.73
1.50	21279806.82
2.50	29681054.43
3.50	35743032.50
4.50	55463326.29
5.50	95180601.67
6.50	167094275.08
7.50	154316329.61
8.50	164629238.35
9.50	152932890.63
10.50	124660428.61
11.50	92564644.33
12.50	52759331.92
13.50	59968306.67
14.50	137136532.85
15.50	131778850.99
16.50	213326290.37
17.50	1417396116.31
18.50	1228493812.25
19.50	965288258.38
20.50	687871013.18
21.50	521330113.69
22.50	724418955.63
23.50	440964885.80
24.50	560795854.71
25.50	987775430.12
26.50	289289666.97
27.50	420565449.24
28.50	497509809.84
29.50	249320857.23
30.50	7180802897.68
31.50	511847268.34
32.50	173307173.76
33.50	476934299.23
34.50	630018110.47
35.50	473261897.58
36.50	1030108662.84
37.50	49426501.66
38.50	68563235.74
39.50	43716671.70
40.50	49380828.32
41.50	55270041.99
42.50	61384312.73
43.50	67723640.52
44.50	74288025.38
45.50	81077467.29
46.50	88091966.26
47.50	95331522.29
48.50	102796135.37
49.50	110485805.52
50.50	118400532.72
51.50	126540316.99
52.50	134905158.31
53.50	143495056.69
54.50	152310012.13
55.50	161350024.62
56.50	170615094.18
57.50	180105220.79
58.50	189820404.47
59.50	199760645.20
60.50	209925942.99
61.50	220316297.84
62.50	230931709.75
63.50	241772178.71
64.50	252837704.74
65.50	264128287.82
66.50	275643927.96
67.50	287384625.16
68.50	299350379.42
69.50	311541190.74
70.50	323957059.11
71.50	336597984.55
72.50	349463967.04
73.50	362555006.59
74.50	375871103.20
75.50	389412256.87
76.50	403178467.60
77.50	417169735.39
78.50	431386060.23
79.50	445827442.13
80.50	460493881.10
81.50	475385377.12
82.50	490501930.20
83.50	505843540.33
84.50	521410207.53
85.50	537201931.78
86.50	553218713.10
87.50	569460551.47
88.50	585927446.90
89.50	602619399.39
90.50	619536408.94
91.50	636678475.54
92.50	654045599.21
93.50	671637779.93
94.50	689455017.71
95.50	707497312.55
96.50	725764664.45
97.50	744257073.41
98.50	762974539.43
99.50	781917062.50
100.50	801084642.64
101.50	820477279.83
102.50	840094974.08
103.50	859937725.39
104.50	880005533.76
105.50	900298399.18
106.50	920816321.67
107.50	941559301.21
108.50	962527337.81
109.50	983720431.47
110.50	1005138582.19
111.50	1026781789.97
112.50	1048650054.81
113.50	1070743376.70
114.50	1093061755.66
115.50	1115605191.67
116.50	1394858637.69
117.50	4994843545.63
118.50	1949366133.41
119.50	3270349129.69
120.50	9820404467.25
121.50	433437894657.41
122.50	4209050206.26
123.50	2715036724.02
124.50	1985436160.58
125.50	1793037528.93
126.50	2481889526.11
127.50	1295653486.27
128.50	1008451554.48
129.50	1211741623.91
130.50	10307123453.06
131.50	1680299828.96
132.50	1346463426.90
133.50	12961817084.21
134.50	1285592111.88
135.50	2910680148.91
136.50	1840325988.53
137.50	2012903712.65
138.50	1971802998.29
139.50	5375641412.62
140.50	4650820002.01
141.50	2826013683.47
142.50	3068216118.32
143.50	3551765771.20
144.50	3482015293.29
145.50	3733021430.73
146.50	4635702787.00
147.50	5824906932.29
