wavelength (nm)	Total	C2H2+	C2H+H	C2/H2	C2H/H	C2H2**
0.1	4.00E-23	2.00E-23	2.00E-23	0.00E+00	0.00E+00	0.00E+00
0.5	6.00E-21	3.01E-21	2.99E-21	0.00E+00	0.00E+00	0.00E+00
1	4.60E-20	2.31E-20	2.29E-20	0.00E+00	0.00E+00	0.00E+00
1.5	1.48E-19	7.47E-20	7.33E-20	0.00E+00	0.00E+00	0.00E+00
2	3.40E-19	1.72E-19	1.68E-19	0.00E+00	0.00E+00	0.00E+00
2.5	6.00E-19	3.05E-19	2.95E-19	0.00E+00	0.00E+00	0.00E+00
3	9.60E-19	4.89E-19	4.71E-19	0.00E+00	0.00E+00	0.00E+00
3.5	1.44E-18	7.36E-19	7.04E-19	0.00E+00	0.00E+00	0.00E+00
4.1	2.00E-18	1.03E-18	9.74E-19	0.00E+00	0.00E+00	0.00E+00
4.3	8.70E-20	4.47E-20	4.23E-20	0.00E+00	0.00E+00	0.00E+00
5	1.35E-19	6.96E-20	6.54E-20	0.00E+00	0.00E+00	0.00E+00
6	2.00E-19	1.04E-19	9.62E-20	0.00E+00	0.00E+00	0.00E+00
7	2.80E-19	1.46E-19	1.34E-19	0.00E+00	0.00E+00	0.00E+00
8	4.00E-19	2.10E-19	1.90E-19	0.00E+00	0.00E+00	0.00E+00
9	5.00E-19	2.64E-19	2.36E-19	0.00E+00	0.00E+00	0.00E+00
10	6.60E-19	3.51E-19	3.09E-19	0.00E+00	0.00E+00	0.00E+00
12	9.00E-19	4.84E-19	4.16E-19	0.00E+00	0.00E+00	0.00E+00
15	1.50E-18	8.21E-19	6.79E-19	0.00E+00	0.00E+00	0.00E+00
20	2.49E-18	1.40E-18	1.09E-18	0.00E+00	0.00E+00	0.00E+00
25	4.00E-18	2.32E-18	1.68E-18	0.00E+00	0.00E+00	0.00E+00
30	5.40E-18	3.21E-18	2.19E-18	0.00E+00	0.00E+00	0.00E+00
40	9.24E-18	5.79E-18	3.45E-18	0.00E+00	0.00E+00	0.00E+00
50	1.88E-17	1.24E-17	6.42E-18	0.00E+00	0.00E+00	0.00E+00
60	2.40E-17	1.66E-17	7.44E-18	0.00E+00	0.00E+00	0.00E+00
62	2.70E-17	1.92E-17	7.83E-18	0.00E+00	0.00E+00	0.00E+00
64	2.90E-17	2.12E-17	7.83E-18	0.00E+00	0.00E+00	0.00E+00
66	3.10E-17	2.42E-17	6.82E-18	0.00E+00	0.00E+00	0.00E+00
68	3.20E-17	2.62E-17	5.76E-18	0.00E+00	0.00E+00	0.00E+00
69.7	3.24E-17	3.24E-17	0.00E+00	0.00E+00	0.00E+00	0.00E+00
70	3.25E-17	3.24E-17	0.00E+00	4.24E-20	8.48E-20	0.00E+00
72	3.35E-17	3.25E-17	0.00E+00	3.35E-19	6.70E-19	0.00E+00
74	3.70E-17	3.11E-17	0.00E+00	1.48E-18	4.44E-18	0.00E+00
76	4.45E-17	2.94E-17	0.00E+00	3.56E-18	1.16E-17	0.00E+00
78	4.85E-17	3.15E-17	0.00E+00	4.36E-18	1.26E-17	0.00E+00
80	4.85E-17	3.54E-17	0.00E+00	3.40E-18	9.70E-18	0.00E+00
82	4.65E-17	3.58E-17	0.00E+00	2.79E-18	7.91E-18	0.00E+00
84	3.60E-17	2.70E-17	0.00E+00	2.16E-18	6.84E-18	0.00E+00
86	3.20E-17	2.02E-17	0.00E+00	2.88E-18	8.96E-18	0.00E+00
88	3.25E-17	1.88E-17	0.00E+00	3.25E-18	1.04E-17	0.00E+00
90	3.60E-17	1.98E-17	0.00E+00	3.96E-18	1.22E-17	0.00E+00
92	3.90E-17	2.30E-17	0.00E+00	3.90E-18	1.21E-17	0.00E+00
94	3.70E-17	2.63E-17	0.00E+00	2.59E-18	8.14E-18	0.00E+00
96	3.25E-17	2.44E-17	0.00E+00	1.95E-18	6.17E-18	0.00E+00
98	3.00E-17	2.25E-17	0.00E+00	1.80E-18	5.70E-18	0.00E+00
100	2.80E-17	2.02E-17	0.00E+00	1.96E-18	5.88E-18	0.00E+00
105	2.29E-17	2.24E-17	0.00E+00	1.14E-19	4.12E-19	0.00E+00
106	2.38E-17	2.17E-17	0.00E+00	5.24E-19	1.57E-18	0.00E+00
107.5	2.52E-17	1.78E-17	0.00E+00	1.81E-18	5.54E-18	2.80E-33
108.5	2.24E-17	1.60E-17	0.00E+00	1.66E-18	4.70E-18	2.49E-33
108.6	2.88E-17	0.00E+00	0.00E+00	2.88E-18	8.64E-18	1.73E-17
108.7	3.51E-17	0.00E+00	0.00E+00	3.51E-18	1.05E-17	2.11E-17
109.1	2.17E-17	0.00E+00	0.00E+00	2.17E-18	6.51E-18	1.30E-17
109.4	2.76E-17	0.00E+00	0.00E+00	2.76E-18	8.28E-18	1.66E-17
110	2.04E-17	0.00E+00	0.00E+00	2.04E-18	6.12E-18	1.22E-17
110.1	1.66E-17	0.00E+00	0.00E+00	1.66E-18	4.98E-18	9.96E-18
110.2	4.27E-17	0.00E+00	0.00E+00	4.27E-18	1.28E-17	2.56E-17
110.6	2.92E-17	0.00E+00	0.00E+00	2.92E-18	8.76E-18	1.75E-17
111.1	2.15E-17	0.00E+00	0.00E+00	2.15E-18	6.45E-18	1.29E-17
111.4	1.06E-17	0.00E+00	0.00E+00	1.06E-18	3.18E-18	6.36E-18
111.6	1.86E-17	0.00E+00	0.00E+00	1.86E-18	5.58E-18	1.12E-17
112	5.08E-17	0.00E+00	0.00E+00	5.08E-18	1.52E-17	3.05E-17
112.2	7.96E-18	0.00E+00	0.00E+00	7.96E-19	2.39E-18	4.78E-18
112.6	4.37E-17	0.00E+00	0.00E+00	4.37E-18	1.31E-17	2.62E-17
112.9	1.18E-17	0.00E+00	0.00E+00	1.18E-18	3.54E-18	7.08E-18
113.2	9.24E-17	0.00E+00	0.00E+00	9.24E-18	2.77E-17	5.54E-17
113.6	5.77E-18	0.00E+00	0.00E+00	5.77E-19	1.73E-18	3.46E-18
114.2	3.55E-17	0.00E+00	0.00E+00	3.55E-18	1.06E-17	2.13E-17
114.5	4.52E-18	0.00E+00	0.00E+00	4.52E-19	1.36E-18	2.71E-18
114.9	1.78E-17	0.00E+00	0.00E+00	1.78E-18	5.34E-18	1.07E-17
115.2	1.50E-17	0.00E+00	0.00E+00	1.50E-18	4.50E-18	9.00E-18
115.6	1.06E-16	0.00E+00	0.00E+00	1.06E-17	3.18E-17	6.36E-17
115.9	1.14E-17	0.00E+00	0.00E+00	1.14E-18	3.42E-18	6.84E-18
116.2	8.82E-18	0.00E+00	0.00E+00	8.82E-19	2.65E-18	5.29E-18
116.5	3.03E-18	0.00E+00	0.00E+00	3.03E-19	9.09E-19	1.82E-18
116.7	1.10E-17	0.00E+00	0.00E+00	1.10E-18	3.30E-18	6.60E-18
116.9	9.34E-18	0.00E+00	0.00E+00	9.34E-19	2.80E-18	5.60E-18
117.1	7.34E-17	0.00E+00	0.00E+00	7.34E-18	2.20E-17	4.40E-17
117.4	1.76E-17	0.00E+00	0.00E+00	1.76E-18	5.28E-18	1.06E-17
117.7	1.58E-17	0.00E+00	0.00E+00	1.58E-18	4.74E-18	9.48E-18
117.9	1.10E-16	0.00E+00	0.00E+00	1.10E-17	3.30E-17	6.60E-17
118.4	4.97E-18	0.00E+00	0.00E+00	4.97E-19	1.49E-18	2.98E-18
119.2	2.46E-17	0.00E+00	0.00E+00	2.46E-18	7.38E-18	1.48E-17
119.8	9.45E-18	0.00E+00	0.00E+00	9.45E-19	2.83E-18	5.67E-18
120.4	1.82E-16	0.00E+00	0.00E+00	1.82E-17	5.46E-17	1.09E-16
121.1	3.13E-18	0.00E+00	0.00E+00	3.13E-19	9.39E-19	1.88E-18
121.6	6.18E-17	0.00E+00	0.00E+00	6.18E-18	1.85E-17	3.71E-17
121.9	1.70E-17	0.00E+00	0.00E+00	1.70E-18	5.10E-18	1.02E-17
122.1	5.44E-17	0.00E+00	0.00E+00	5.44E-18	1.63E-17	3.26E-17
122.4	4.75E-18	0.00E+00	0.00E+00	4.75E-19	1.42E-18	2.85E-18
123.1	9.25E-18	0.00E+00	0.00E+00	9.25E-19	2.77E-18	5.55E-18
123.6	4.28E-18	0.00E+00	0.00E+00	4.28E-19	1.28E-18	2.57E-18
124.4	1.28E-16	0.00E+00	0.00E+00	1.28E-17	3.84E-17	7.68E-17
124.7	3.20E-17	0.00E+00	0.00E+00	3.20E-18	9.60E-18	1.92E-17
124.9	1.62E-16	0.00E+00	0.00E+00	1.62E-17	4.86E-17	9.72E-17
125.2	1.43E-17	0.00E+00	0.00E+00	1.43E-18	4.29E-18	8.58E-18
125.6	3.10E-17	0.00E+00	0.00E+00	3.10E-18	9.30E-18	1.86E-17
125.8	1.80E-17	0.00E+00	0.00E+00	1.80E-18	5.40E-18	1.08E-17
126.3	1.74E-17	0.00E+00	0.00E+00	1.74E-18	5.22E-18	1.04E-17
126.6	1.26E-17	0.00E+00	0.00E+00	1.26E-18	3.78E-18	7.56E-18
127	2.64E-17	0.00E+00	0.00E+00	2.64E-18	7.92E-18	1.58E-17
127.6	2.99E-17	0.00E+00	0.00E+00	2.99E-18	8.97E-18	1.79E-17
128.4	8.72E-17	0.00E+00	0.00E+00	8.72E-18	2.62E-17	5.23E-17
128.7	3.20E-17	0.00E+00	0.00E+00	3.20E-18	9.60E-18	1.92E-17
128.9	5.14E-17	0.00E+00	0.00E+00	5.14E-18	1.54E-17	3.08E-17
129.4	3.13E-17	0.00E+00	0.00E+00	3.13E-18	9.39E-18	1.88E-17
129.8	4.79E-17	0.00E+00	0.00E+00	4.79E-18	1.44E-17	2.87E-17
130.1	3.85E-17	0.00E+00	0.00E+00	3.85E-18	1.15E-17	2.31E-17
130.8	2.92E-16	0.00E+00	0.00E+00	2.92E-17	8.76E-17	1.75E-16
131	1.43E-16	0.00E+00	0.00E+00	1.43E-17	4.29E-17	8.58E-17
131.8	3.17E-17	0.00E+00	0.00E+00	3.17E-18	9.51E-18	1.90E-17
132	9.24E-17	0.00E+00	0.00E+00	9.24E-18	2.77E-17	5.54E-17
132.4	6.39E-17	0.00E+00	0.00E+00	6.39E-18	1.92E-17	3.83E-17
132.8	3.81E-17	0.00E+00	0.00E+00	3.81E-18	1.14E-17	2.29E-17
133	7.43E-17	0.00E+00	0.00E+00	7.43E-18	2.23E-17	4.46E-17
133.3	4.32E-17	0.00E+00	0.00E+00	4.32E-18	1.30E-17	2.59E-17
133.8	3.90E-16	0.00E+00	0.00E+00	3.90E-17	1.17E-16	2.34E-16
134	1.20E-16	0.00E+00	0.00E+00	1.20E-17	3.60E-17	7.20E-17
134.8	1.34E-17	0.00E+00	0.00E+00	1.34E-18	4.02E-18	8.04E-18
135.2	4.13E-17	0.00E+00	0.00E+00	4.13E-18	1.24E-17	2.48E-17
135.9	6.14E-18	0.00E+00	0.00E+00	6.14E-19	1.84E-18	3.68E-18
136.2	2.09E-17	0.00E+00	0.00E+00	2.09E-18	6.27E-18	1.25E-17
136.6	5.69E-18	0.00E+00	0.00E+00	5.69E-19	1.71E-18	3.41E-18
