Lambda,Total,C2H4+,C2H2+H2,C2H3+H,C2H2/2H,C2H2/H2
0.1,4.00E-23,1.32E-23,1.36E-23,1.32E-23,6.62E-27,3.56E-27
1,4.60E-20,1.51E-20,1.56E-20,1.52E-20,7.61E-23,4.10E-23
4.1,1.30E-19,4.22E-20,4.32E-20,4.32E-20,8.82E-22,4.75E-22
4.3,8.70E-20,2.82E-20,2.89E-20,2.89E-20,6.19E-22,3.33E-22
5,1.40E-19,4.53E-20,4.63E-20,4.66E-20,1.16E-21,6.24E-22
10,6.80E-19,2.16E-19,2.19E-19,2.28E-19,1.13E-20,6.06E-21
18,4.50E-18,1.38E-18,1.38E-18,1.53E-18,1.34E-19,7.22E-20
20,5.00E-18,1.52E-18,1.52E-18,1.70E-18,1.65E-19,8.91E-20
25,7.50E-18,2.24E-18,2.21E-18,2.58E-18,3.10E-19,1.67E-19
30,1.20E-17,3.50E-18,3.43E-18,4.16E-18,5.96E-19,3.21E-19
35,1.75E-17,5.00E-18,4.84E-18,6.11E-18,1.01E-18,5.46E-19
40,2.45E-17,6.84E-18,6.55E-18,8.62E-18,1.62E-18,8.73E-19
45,3.20E-17,8.73E-18,8.26E-18,1.13E-17,2.38E-18,1.28E-18
50,3.80E-17,1.01E-17,9.47E-18,1.36E-17,3.14E-18,1.69E-18
55,4.12E-17,1.07E-17,9.89E-18,1.48E-17,3.75E-18,2.02E-18
56.4,4.25E-17,1.15E-17,1.02E-17,1.53E-17,3.59E-18,1.93E-18
62,4.95E-17,1.39E-17,1.06E-17,1.96E-17,3.54E-18,1.91E-18
68.9,5.60E-17,1.76E-17,1.09E-17,2.30E-17,2.91E-18,1.57E-18
70.6,5.75E-17,1.90E-17,1.09E-17,2.36E-17,2.62E-18,1.41E-18
77.5,5.40E-17,1.97E-17,9.72E-18,1.70E-17,4.91E-18,2.65E-18
83.8,5.95E-17,2.53E-17,9.82E-18,8.33E-18,1.04E-17,5.65E-18
88.2,4.75E-17,2.57E-17,8.55E-18,4.75E-19,8.31E-18,4.51E-18
88.6,4.70E-17,2.59E-17,8.46E-18,3.53E-19,8.54E-18,3.80E-18
89.8,4.48E-17,2.55E-17,3.58E-18,0.00E+00,9.05E-18,6.68E-18
91.8,4.10E-17,2.46E-17,8.20E-19,0.00E+00,1.01E-17,5.45E-18
94.5,3.92E-17,2.05E-17,0.00E+00,0.00E+00,1.19E-17,6.74E-18
96.4,3.80E-17,1.79E-17,0.00E+00,0.00E+00,1.31E-17,7.07E-18
101.6,5.55E-17,7.22E-18,0.00E+00,0.00E+00,3.14E-17,1.69E-17
103.3,5.45E-17,5.45E-18,0.00E+00,0.00E+00,3.19E-17,1.72E-17
106.5,2.40E-17,4.56E-18,0.00E+00,0.00E+00,1.26E-17,6.82E-18
106.6,2.42E-17,4.60E-18,0.00E+00,0.00E+00,1.27E-17,6.87E-18
108.5,1.95E-17,3.70E-18,0.00E+00,0.00E+00,1.03E-17,5.54E-18
109.6,1.74E-17,3.31E-18,0.00E+00,0.00E+00,9.15E-18,4.94E-18
110.5,1.86E-17,2.98E-18,0.00E+00,0.00E+00,1.02E-17,5.47E-18
111.5,1.83E-17,2.56E-18,0.00E+00,0.00E+00,1.02E-17,5.51E-18
112.3,1.72E-17,2.24E-18,0.00E+00,0.00E+00,9.72E-18,5.25E-18
112.7,1.35E-17,2.03E-18,0.00E+00,0.00E+00,7.45E-18,4.02E-18
114.9,1.42E-17,1.14E-18,0.00E+00,0.00E+00,8.49E-18,4.57E-18
115,1.52E-17,1.22E-18,0.00E+00,0.00E+00,9.09E-18,4.89E-18
117.8,1.79E-17,3.58E-20,0.00E+00,0.00E+00,1.16E-17,6.25E-18
118,1.87E-17,0.00E+00,0.00E+00,0.00E+00,9.16E-18,9.54E-18
118.6,2.09E-17,0.00E+00,0.00E+00,0.00E+00,1.02E-17,1.07E-17
119.1,1.96E-17,0.00E+00,0.00E+00,0.00E+00,9.60E-18,1.00E-17
120.1,2.21E-17,0.00E+00,0.00E+00,0.00E+00,1.08E-17,1.13E-17
120.3,2.05E-17,0.00E+00,0.00E+00,0.00E+00,1.00E-17,1.05E-17
120.8,2.47E-17,0.00E+00,0.00E+00,0.00E+00,1.21E-17,1.26E-17
121.3,2.10E-17,0.00E+00,0.00E+00,0.00E+00,1.03E-17,1.07E-17
122.2,2.82E-17,0.00E+00,0.00E+00,0.00E+00,1.38E-17,1.44E-17
122.4,2.78E-17,0.00E+00,0.00E+00,0.00E+00,1.36E-17,1.42E-17
122.6,2.92E-17,0.00E+00,0.00E+00,0.00E+00,1.43E-17,1.49E-17
122.8,3.05E-17,0.00E+00,0.00E+00,0.00E+00,1.49E-17,1.56E-17
123.1,2.39E-17,0.00E+00,0.00E+00,0.00E+00,1.17E-17,1.22E-17
124.1,3.05E-17,0.00E+00,0.00E+00,0.00E+00,1.49E-17,1.56E-17
124.4,2.72E-17,0.00E+00,0.00E+00,0.00E+00,1.33E-17,1.39E-17
124.8,3.48E-17,0.00E+00,0.00E+00,0.00E+00,1.71E-17,1.77E-17
125.1,2.64E-17,0.00E+00,0.00E+00,0.00E+00,1.29E-17,1.35E-17
125.4,2.54E-17,0.00E+00,0.00E+00,0.00E+00,1.24E-17,1.30E-17
125.6,2.70E-17,0.00E+00,0.00E+00,0.00E+00,1.32E-17,1.38E-17
126.3,2.71E-17,0.00E+00,0.00E+00,0.00E+00,1.33E-17,1.38E-17
126.4,2.80E-17,0.00E+00,0.00E+00,0.00E+00,1.37E-17,1.43E-17
127.1,2.79E-17,0.00E+00,0.00E+00,0.00E+00,1.37E-17,1.42E-17
127.3,2.53E-17,0.00E+00,0.00E+00,0.00E+00,1.24E-17,1.29E-17
127.6,2.93E-17,0.00E+00,0.00E+00,0.00E+00,1.44E-17,1.49E-17
128,2.82E-17,0.00E+00,0.00E+00,0.00E+00,1.38E-17,1.44E-17
128.4,3.29E-17,0.00E+00,0.00E+00,0.00E+00,1.61E-17,1.68E-17
129.4,1.60E-17,0.00E+00,0.00E+00,0.00E+00,7.84E-18,8.16E-18
129.8,1.42E-17,0.00E+00,0.00E+00,0.00E+00,6.96E-18,7.24E-18
130.2,1.62E-17,0.00E+00,0.00E+00,0.00E+00,7.94E-18,8.26E-18
131.2,1.20E-17,0.00E+00,0.00E+00,0.00E+00,5.88E-18,6.12E-18
131.7,1.56E-17,0.00E+00,0.00E+00,0.00E+00,7.64E-18,7.96E-18
132.3,1.50E-17,0.00E+00,0.00E+00,0.00E+00,7.35E-18,7.65E-18
133,1.66E-17,0.00E+00,0.00E+00,0.00E+00,8.13E-18,8.47E-18
133.5,2.05E-17,0.00E+00,0.00E+00,0.00E+00,1.00E-17,1.05E-17
133.8,1.95E-17,0.00E+00,0.00E+00,0.00E+00,9.55E-18,9.95E-18
134.2,2.20E-17,0.00E+00,0.00E+00,0.00E+00,1.08E-17,1.12E-17
135.2,1.10E-17,0.00E+00,0.00E+00,0.00E+00,5.39E-18,5.61E-18
135.6,2.99E-17,0.00E+00,0.00E+00,0.00E+00,1.47E-17,1.52E-17
136,2.86E-17,0.00E+00,0.00E+00,0.00E+00,1.40E-17,1.46E-17
136.4,3.00E-17,0.00E+00,0.00E+00,0.00E+00,1.47E-17,1.53E-17
136.6,2.43E-17,0.00E+00,0.00E+00,0.00E+00,1.19E-17,1.24E-17
137,2.56E-17,0.00E+00,0.00E+00,0.00E+00,1.25E-17,1.31E-17
137.6,6.29E-18,0.00E+00,0.00E+00,0.00E+00,3.08E-18,3.21E-18
138.3,3.58E-17,0.00E+00,0.00E+00,0.00E+00,1.75E-17,1.83E-17
138.8,2.33E-17,0.00E+00,0.00E+00,0.00E+00,1.14E-17,1.19E-17
139,3.15E-17,0.00E+00,0.00E+00,0.00E+00,1.54E-17,1.61E-17
139.5,6.40E-18,0.00E+00,0.00E+00,0.00E+00,3.14E-18,3.26E-18
140.1,6.33E-18,0.00E+00,0.00E+00,0.00E+00,3.10E-18,3.23E-18
140.2,5.06E-18,0.00E+00,0.00E+00,0.00E+00,2.48E-18,2.58E-18
140.8,4.73E-18,0.00E+00,0.00E+00,0.00E+00,2.32E-18,2.41E-18
141.4,8.90E-18,0.00E+00,0.00E+00,0.00E+00,4.36E-18,4.54E-18
142.1,6.25E-18,0.00E+00,0.00E+00,0.00E+00,3.06E-18,3.19E-18
142.8,1.00E-17,0.00E+00,0.00E+00,0.00E+00,4.90E-18,5.10E-18
143.3,8.23E-18,0.00E+00,0.00E+00,0.00E+00,4.03E-18,4.20E-18
144.2,1.18E-17,0.00E+00,0.00E+00,0.00E+00,5.78E-18,6.02E-18
144.5,9.90E-18,0.00E+00,0.00E+00,0.00E+00,4.85E-18,5.05E-18
145.2,1.23E-17,0.00E+00,0.00E+00,0.00E+00,6.03E-18,6.27E-18
146,1.26E-17,0.00E+00,0.00E+00,0.00E+00,6.17E-18,6.43E-18
147.3,1.50E-17,0.00E+00,0.00E+00,0.00E+00,7.35E-18,7.65E-18
147.6,1.47E-17,0.00E+00,0.00E+00,0.00E+00,7.20E-18,7.50E-18
148.7,1.79E-17,0.00E+00,0.00E+00,0.00E+00,8.77E-18,9.13E-18
149.5,1.74E-17,0.00E+00,0.00E+00,0.00E+00,8.53E-18,8.87E-18
150,1.90E-17,0.00E+00,0.00E+00,0.00E+00,9.31E-18,9.69E-18
150.9,1.81E-17,0.00E+00,0.00E+00,0.00E+00,8.87E-18,9.23E-18
152.1,2.12E-17,0.00E+00,0.00E+00,0.00E+00,1.04E-17,1.08E-17
152.6,2.01E-17,0.00E+00,0.00E+00,0.00E+00,9.85E-18,1.03E-17
153.3,2.21E-17,0.00E+00,0.00E+00,0.00E+00,1.08E-17,1.13E-17
153.6,2.15E-17,0.00E+00,0.00E+00,0.00E+00,1.05E-17,1.10E-17
155.4,2.48E-17,0.00E+00,0.00E+00,0.00E+00,1.22E-17,1.26E-17
155.9,2.26E-17,0.00E+00,0.00E+00,0.00E+00,1.11E-17,1.15E-17
156.7,2.67E-17,0.00E+00,0.00E+00,0.00E+00,1.31E-17,1.36E-17
157.5,2.27E-17,0.00E+00,0.00E+00,0.00E+00,1.11E-17,1.16E-17
158.6,2.94E-17,0.00E+00,0.00E+00,0.00E+00,1.44E-17,1.50E-17
159.2,2.67E-17,0.00E+00,0.00E+00,0.00E+00,1.31E-17,1.36E-17
160,3.23E-17,0.00E+00,0.00E+00,0.00E+00,1.58E-17,1.65E-17
160.9,2.69E-17,0.00E+00,0.00E+00,0.00E+00,1.32E-17,1.37E-17
