Wavelength (nm)	Total	HCO/H	CO/H2	CO/H/H			
0.1	9.00E-23	0.00E+00	0.00E+00	9.00E-26			
1	9.10E-20	0.00E+00	0.00E+00	7.73E-22			
2.25	7.60E-19	0.00E+00	0.00E+00	1.44E-20			
2.35	2.40E-19	0.00E+00	0.00E+00	4.74E-21			
4.1	1.10E-18	0.00E+00	0.00E+00	3.78E-20			
4.3	1.60E-19	0.00E+00	0.00E+00	5.76E-21			
5	2.50E-19	0.00E+00	0.00E+00	1.05E-20			
10	1.30E-18	0.00E+00	0.00E+00	1.09E-19			
20	5.90E-18	0.00E+00	0.00E+00	9.84E-19			
30	1.00E-17	0.00E+00	0.00E+00	2.50E-18			
40	1.42E-17	0.00E+00	0.00E+00	4.73E-18			
50	1.81E-17	0.00E+00	0.00E+00	7.54E-18			
60	2.50E-17	0.00E+00	0.00E+00	1.25E-17			
61.5	3.30E-17	0.00E+00	0.00E+00	1.85E-17			
62.4	3.10E-17	0.00E+00	0.00E+00	1.57E-17			
62.8	3.75E-17	0.00E+00	0.00E+00	2.25E-17			
63.4	3.50E-17	0.00E+00	0.00E+00	2.01E-17			
64.2	3.70E-17	0.00E+00	0.00E+00	2.01E-17			
66	3.40E-17	0.00E+00	0.00E+00	1.50E-17			
67	3.00E-17	0.00E+00	0.00E+00	9.00E-18			
68	3.60E-17	0.00E+00	0.00E+00	1.69E-17			
69	3.49E-17	0.00E+00	0.00E+00	1.50E-17			
70.4	3.49E-17	0.00E+00	0.00E+00	1.36E-17			
71.9	3.30E-17	0.00E+00	0.00E+00	1.31E-17			
72.1	3.70E-17	0.00E+00	0.00E+00	1.45E-17			
72.3	3.70E-17	0.00E+00	0.00E+00	1.39E-17			
72.5	3.00E-17	0.00E+00	0.00E+00	1.07E-17			
73.5	3.30E-17	0.00E+00	0.00E+00	8.98E-18			
73.7	2.71E-17	0.00E+00	0.00E+00	6.91E-18			
74.1	2.80E-17	0.00E+00	0.00E+00	6.69E-18			
74.4	3.50E-17	0.00E+00	0.00E+00	9.31E-18			
75	3.40E-17	0.00E+00	0.00E+00	1.09E-17			
75.2	3.09E-17	0.00E+00	0.00E+00	9.98E-18			
76	3.20E-17	0.00E+00	0.00E+00	1.09E-17			
77	3.70E-17	0.00E+00	0.00E+00	1.30E-17			
77.4	3.50E-17	0.00E+00	0.00E+00	1.39E-17			
77.8	4.40E-17	0.00E+00	0.00E+00	1.96E-17			
78	4.10E-17	0.00E+00	0.00E+00	1.93E-17			
78.5	4.80E-17	0.00E+00	0.00E+00	2.14E-17			
79.1	4.80E-17	0.00E+00	0.00E+00	2.04E-17			
79.3	4.09E-17	0.00E+00	0.00E+00	1.78E-17			
