Wavelength,Crosssection (cm^2)
0.5,0
1.5,0
2.5,0
3.5,0
4.5,0
5.5,0
6.5,0
7.5,0
8.5,0
9.5,0
10.5,0
11.5,0
12.5,0
13.5,0
14.5,0
15.5,0
16.5,0
17.5,0
18.5,0
19.5,0
20.5,0
21.5,0
22.5,0
23.5,0
24.5,0
25.5,0
26.5,0
27.5,0
28.5,0
29.5,0
30.5,0
31.5,0
32.5,0
33.5,0
34.5,0
35.5,0
36.5,0
37.5,0
38.5,0
39.5,0
40.5,0
41.5,0
42.5,0
43.5,0
44.5,0
45.5,0
46.5,0
47.5,0
48.5,0
49.5,0
50.5,0
51.5,0
52.5,0
53.5,0
54.5,0
55.5,0
56.5,0
57.5,0
58.5,0
59.5,0
60.5,0
61.5,0
62.5,0
63.5,0
64.5,0
65.5,0
66.5,0
67.5,0
68.5,0
69.5,0
70.5,2.31E-19
71.5,5.24E-19
72.5,1.61E-18
73.5,3.50E-18
74.5,6.23E-18
75.5,9.81E-18
76.5,1.19E-17
77.5,1.24E-17
78.5,1.19E-17
79.5,1.04E-17
80.5,9.25E-18
81.5,8.36E-18
82.5,7.64E-18
83.5,7.11E-18
84.5,7.37E-18
85.5,8.43E-18
86.5,9.32E-18
87.5,1.00E-17
88.5,1.09E-17
89.5,1.18E-17
90.5,1.22E-17
91.5,1.21E-17
92.5,1.11E-17
93.5,9.13E-18
94.5,7.65E-18
95.5,6.66E-18
96.5,6.05E-18
97.5,5.82E-18
98.5,5.75E-18
99.5,5.84E-18
100.5,5.33E-18
101.5,4.24E-18
102.5,3.15E-18
103.5,2.05E-18
104.5,9.59E-19
105.5,9.91E-19
106.5,2.89E-18
107.5,5.54E-18
108.5,4.70E-18
109.5,7.92E-18
110.5,9.77E-18
111.5,4.38E-18
112.5,1.04E-17
113.5,8.22E-18
114.5,1.36E-18
115.5,2.50E-17
116.5,9.09E-19
117.5,5.10E-18
118.5,2.23E-18
119.5,5.10E-18
120.5,4.69E-17
121.5,1.50E-17
122.5,1.61E-18
123.5,1.58E-18
124.5,2.88E-17
125.5,8.05E-18
126.5,4.26E-18
127.5,8.80E-18
128.5,2.07E-17
129.5,1.06E-17
130.5,5.50E-17
131.5,2.20E-17
132.5,1.73E-17
133.5,5.46E-17
134.5,1.60E-17
135.5,7.87E-18
136.5,2.85E-18
137.5,1.21E-18
138.5,9.76E-19
139.5,8.46E-19
140.5,1.46E-18
141.5,8.75E-19
142.5,9.68E-19
143.5,4.54E-18
144.5,2.09E-18
145.5,1.89E-18
146.5,5.59E-18
147.5,1.51E-17
148.5,8.25E-18
149.5,3.47E-18
150.5,9.59E-18
151.5,7.85E-17
152.5,5.07E-17
153.5,6.97E-19
154.5,3.22E-19
155.5,1.32E-19
156.5,1.23E-19
157.5,1.42E-19
158.5,1.34E-19
159.5,1.38E-19
160.5,1.64E-19
161.5,1.55E-19
162.5,1.81E-19
163.5,1.66E-19
164.5,1.88E-19
165.5,1.79E-19
166.5,2.31E-19
167.5,1.88E-19
168.5,2.71E-19
169.5,1.43E-19
170.5,2.27E-19
171.5,1.64E-19
172.5,1.91E-19
173.5,1.63E-19
174.5,1.41E-19
175.5,1.96E-19
176.5,9.06E-20
177.5,1.52E-19
178.5,7.07E-20
179.5,7.55E-20
180.5,8.01E-20
181.5,4.43E-20
182.5,5.43E-20
183.5,3.66E-20
184.5,3.43E-20
185.5,2.72E-19
186.5,3.85E-19
187.5,2.19E-19
188.5,1.22E-19
189.5,2.69E-19
190.5,1.12E-19
191.5,1.81E-19
192.5,1.37E-19
193.5,9.64E-20
194.5,2.78E-19
195.5,8.18E-20
196.5,1.73E-19
197.5,9.98E-20
198.5,9.19E-20
199.5,1.01E-19
200.5,9.55E-20
201.5,3.67E-20
202.5,3.54E-20
203.5,3.42E-20
204.5,3.29E-20
205.5,3.17E-20
206.5,3.04E-20
207.5,2.91E-20
208.5,2.79E-20
209.5,2.66E-20
210.5,2.53E-20
211.5,2.41E-20
212.5,2.28E-20
213.5,2.16E-20
214.5,2.03E-20
215.5,1.90E-20
216.5,1.78E-20
217.5,1.65E-20
218.5,1.53E-20
219.5,1.40E-20
220.5,1.27E-20
221.5,1.15E-20
222.5,1.02E-20
223.5,8.95E-21
224.5,7.69E-21
225.5,6.43E-21
226.5,5.17E-21
227.5,3.91E-21
228.5,2.65E-21
229.5,1.39E-21
230.5,1.26E-22
231.5,0
232.5,0
233.5,0
234.5,0
235.5,0
236.5,0
237.5,0
238.5,0
239.5,0
240.5,0
241.5,0
242.5,0
243.5,0
244.5,0
245.5,0
246.5,0
247.5,0
248.5,0
249.5,0
250.5,0
251.5,0
252.5,0
253.5,0
254.5,0
255.5,0
256.5,0
257.5,0
258.5,0
259.5,0
260.5,0
261.5,0
262.5,0
263.5,0
264.5,0
265.5,0
266.5,0
267.5,0
268.5,0
269.5,0
270.5,0
271.5,0
272.5,0
273.5,0
274.5,0
275.5,0
276.5,0
277.5,0
278.5,0
279.5,0
280.5,0
281.5,0
282.5,0
283.5,0
284.5,0
285.5,0
286.5,0
287.5,0
288.5,0
289.5,0
290.5,0
291.5,0
292.5,0
293.5,0
294.5,0
295.5,0
296.5,0
297.5,0
298.5,0
299.5,0
