Wavelength(nm),cross section(cm^2)
117.9828735,0
112.7272727,6.3E-18
107.826087,1.29E-17
103.3333333,1.96E-17
99.2,2.64E-17
95.38461538,3.3E-17
91.85185185,3.96E-17
88.57142857,4.75E-17
85.51724138,5.69E-17
82.66666667,6.61E-17
80,7.52E-17
77.5,8.4E-17
75.15151515,9.42E-17
72.94117647,1.045E-16
70.85714286,1.145E-16
68.88888889,1.259E-16
67.02702703,1.373E-16
65.26315789,1.484E-16
63.58974359,1.592E-16
62,1.697E-16
60.48780488,1.8E-16
59.04761905,1.899E-16
57.6744186,1.995E-16
56.36363636,2.097E-16
55.11111111,2.197E-16
53.91304348,2.294E-16
52.76595745,2.388E-16
51.66666667,2.479E-16
47.69230769,2.817E-16
44.28571429,3.112E-16
41.33333333,3.386E-16
38.75,3.629E-16
36.47058824,3.842E-16
34.44444444,4.029E-16
32.63157895,4.192E-16
31,4.335E-16
27.55555556,4.617E-16
24.8,4.814E-16
22.54545455,4.949E-16
20.66666667,5.036E-16
19.07692308,5.089E-16
17.71428571,5.115E-16
16.53333333,5.12E-16
15.5,5.11E-16
14.58823529,5.088E-16
13.77777778,5.056E-16
13.05263158,5.018E-16
12.4,4.974E-16
11.80952381,4.926E-16
11.27272727,4.875E-16
10.7826087,4.822E-16
10.33333333,4.768E-16
9.92,4.713E-16
9.538461538,4.657E-16
9.185185185,4.601E-16
8.857142857,4.545E-16
8.551724138,4.489E-16
8.266666667,4.434E-16
7.75,4.326E-16
7.294117647,4.22E-16
6.888888889,4.118E-16
6.526315789,4.019E-16
6.2,3.925E-16
5.904761905,3.834E-16
5.636363636,3.746E-16
5.391304348,3.662E-16
5.166666667,3.582E-16
4.96,3.505E-16
4.133333333,3.164E-16
3.542857143,2.884E-16
3.1,2.651E-16
2.755555556,2.454E-16
2.48,2.286E-16
2.254545455,2.14E-16
2.066666667,2.013E-16
1.907692308,1.901E-16
1.771428571,1.802E-16
1.653333333,1.713E-16
1.55,1.633E-16
1.458823529,1.56E-16
1.377777778,1.494E-16
1.305263158,1.434E-16
1.24,1.379E-16
1.127272727,1.281E-16
1.033333333,1.197E-16
0.953846154,1.124E-16
0.885714286,1.06E-16
0.826666667,1.003E-16
0.775,9.52E-17
0.729411765,9.07E-17
0.688888889,8.66E-17
0.652631579,8.29E-17
0.62,7.95E-17
0.59047619,7.63E-17
0.563636364,7.35E-17
0.539130435,7.08E-17
0.516666667,6.84E-17
0.496,6.61E-17
0.476923077,6.4E-17
0.459259259,6.2E-17
0.442857143,6.02E-17
0.427586207,5.84E-17
0.413333333,5.68E-17
0.31,4.45E-17
0.248,3.68E-17
