Energy (eV)	BEB (Å2)
10.51	0.000
11.00	0.063
11.50	0.129
12.00	0.196
12.50	0.264
13.00	0.330
13.50	0.396
14.00	0.475
14.50	0.569
15.00	0.661
15.50	0.752
16.00	0.840
16.50	0.942
17.00	1.045
17.50	1.145
18.00	1.259
18.50	1.373
19.00	1.484
19.50	1.592
20.00	1.697
20.50	1.800
21.00	1.899
21.50	1.995
22.00	2.097
22.50	2.197
23.00	2.294
23.50	2.388
24.00	2.479
26.00	2.817
28.00	3.112
30.00	3.386
32.00	3.629
34.00	3.842
36.00	4.029
38.00	4.192
40.00	4.335
45.00	4.617
50.00	4.814
55.00	4.949
60.00	5.036
65.00	5.089
70.00	5.115
75.00	5.120
80.00	5.110
85.00	5.088
90.00	5.056
95.00	5.018
100.00	4.974
105.00	4.926
110.00	4.875
115.00	4.822
120.00	4.768
125.00	4.713
130.00	4.657
135.00	4.601
140.00	4.545
145.00	4.489
150.00	4.434
160.00	4.326
170.00	4.220
180.00	4.118
190.00	4.019
200.00	3.925
210.00	3.834
220.00	3.746
230.00	3.662
240.00	3.582
250.00	3.505
300.00	3.164
350.00	2.884
400.00	2.651
450.00	2.454
500.00	2.286
550.00	2.140
600.00	2.013
650.00	1.901
700.00	1.802
750.00	1.713
800.00	1.633
850.00	1.560
900.00	1.494
950.00	1.434
1000.00	1.379
1100.00	1.281
1200.00	1.197
1300.00	1.124
1400.00	1.060
1500.00	1.003
1600.00	0.952
1700.00	0.907
1800.00	0.866
1900.00	0.829
2000.00	0.795
2100.00	0.763
2200.00	0.735
2300.00	0.708
2400.00	0.684
2500.00	0.661
2600.00	0.640
2700.00	0.620
2800.00	0.602
2900.00	0.584
3000.00	0.568
4000.00	0.445
5000.00	0.368
